"...1","SL No","Industry code","KLEMS Industry Description","year","II_M_r","EMP","VA_r","K_r","LP","GO_r","LSH_go","EMP_g"
331,19,"H","Hotels and Restaurants",2016,149857.47956727,9024.14086250473,121092.194,295244.350573532,134.186950142963,354702.428,0.19950525730116,2.3863731468056
332,19,"H","Hotels and Restaurants",2017,168091.158996733,9245.89259614589,132190.854169518,326079.479397424,142.972517574584,383797.456218482,0.201559677080259,2.4276104850599
333,19,"H","Hotels and Restaurants",2018,192201.820976583,9415.03588776283,144543.615057071,366421.207690808,153.524231644131,422500.670056756,0.198823975351529,1.8128564618508
334,19,"H","Hotels and Restaurants",2019,204000.424234745,9609.67277580564,153260.781469824,422606.363903422,159.485952378826,456502.83097498,0.199736686746178,2.04621981516877
335,19,"H","Hotels and Restaurants",2020,97167.7902461144,9768.1698035776,70937.6165698489,469442.239937468,72.6211951637736,219899.292699177,0.188234237075498,1.63589482979043
336,19,"H","Hotels and Restaurants",2021,144466.461961332,10284.8665448597,101981.249324759,551588.579034036,99.1566092568584,314080.369975573,0.181089328824314,5.15444269983868
371,22,"J","Financial Services",2014,38425.7137632037,4908.88302610237,627255,578139.796591404,1277.79577688988,837706,0.248115715307841,2.91899554190084
372,22,"J","Financial Services",2015,42724.542419807,5055.06542950334,672788,601559.532709772,1330.91848044804,899035,0.238811351656365,2.93443695760329
373,22,"J","Financial Services",2016,50412.8298781341,5206.41313862855,695983.0842,617244.324460968,1336.78036235006,965731.5206,0.246674178262721,2.95003656822278
374,22,"J","Financial Services",2017,55817.7287706035,5363.13709885938,728669.633362012,623446.68437588,1358.66307336612,1013488.10553264,0.228451556516859,2.96579219185048
375,22,"J","Financial Services",2018,60450.79556499,5943.67301802515,758170.318958433,643563.983696086,1275.59224179924,1055342.34027332,0.229850144820101,10.2778211964546
376,22,"J","Financial Services",2019,67479.9310262371,6122.35459114174,784535.537973782,661735.484230171,1281.4278008479,1096289.96666386,0.243384275965263,2.9619464170678
377,22,"J","Financial Services",2020,67850.224549137,6133.08971777108,824562.368607283,692490.437262494,1344.44856760868,1141295.53384461,0.244225442542833,0.175189558279349
378,22,"J","Financial Services",2021,72437.3779074616,6387.31206899153,830391.817901565,710345.240320705,1300.06457948542,1166893.026492,0.244553852668145,4.06148781833502
413,23,"71t74","Business Service",2014,49029.5202997977,10085.1281328018,707891.141066876,3095649.51959773,701.915862391934,1146345,0.255500913427507,9.25678632300574
414,23,"71t74","Business Service",2015,48449.7751803174,11071.5763278186,854814.668598356,3392634.13677726,772.08036442881,1377058,0.265089746201313,9.33192563426645
415,23,"71t74","Business Service",2016,58510.0887545081,12164.0709441248,1002179.7096043,3735567.16913401,823.885123827195,1626469.795,0.274031925499031,9.41054691469892
416,23,"71t74","Business Service",2017,41523.7037391645,13375.3569340683,1009196.81858199,4031279.70919627,754.51954183852,1448789.03750058,0.31752219472197,9.49273769849266
417,23,"71t74","Business Service",2018,52075.358332859,13802.7075726809,1128039.39243703,4388041.2782096,817.25950252667,1676115.13470778,0.310329121901114,3.14507947518777
418,23,"71t74","Business Service",2019,60067.8090140228,14090.4966659005,1258989.46674295,4779080.90648899,893.502547564382,1869385.64722248,0.313561340341799,2.06358009837726
419,23,"71t74","Business Service",2020,56327.7458429831,14381.4756787832,1289357.3256384,5123438.0185173,896.54035123848,1865362.82588824,0.324681066228266,2.04403924282149
420,23,"71t74","Business Service",2021,72211.9682600705,16453.4239852577,1402647.10395048,5469729.79080196,852.495568829472,2113934.3072339,0.323230723325334,13.4592633303517
455,7,"23","Coke, Refined Petroleum Products and Nuclear fuel",2014,1114701.65633968,180.379690103537,208481.922626335,341636.448529823,11557.9488193304,1325745,0.0068584793016,5.30960468898235
456,7,"23","Coke, Refined Petroleum Products and Nuclear fuel",2015,777775.751423013,190.481262164881,242806.414651708,418387.730695057,12746.9973630023,1133468,0.0119664444030588,5.44898096737558
457,7,"23","Coke, Refined Petroleum Products and Nuclear fuel",2016,864453.122923227,201.60886469085,222350.24827074,494522.033365005,11028.793233457,1125913.152,0.0141131276854289,5.67756785215356
458,7,"23","Coke, Refined Petroleum Products and Nuclear fuel",2017,1019054.30195288,214.461803483289,223911.303959442,543034.767784031,10440.6146140093,1135934.522496,0.0127528127518718,6.18021432610408
459,7,"23","Coke, Refined Petroleum Products and Nuclear fuel",2018,1117012.70560535,218.0327085637,152614.917885484,582784.59000694,6999.63408659379,1257538.6121,0.0111258123631087,1.65134406450179
460,7,"23","Coke, Refined Petroleum Products and Nuclear fuel",2019,1215296.72169303,268.178095855428,126489.022553626,648765.182215312,4716.60528985988,1276991.944149,0.0120625646303805,20.7006205760705
461,7,"23","Coke, Refined Petroleum Products and Nuclear fuel",2020,1045264.97164061,238.312060281461,183434.185796715,693707.27134578,7697.22629983845,1104501.211709,0.015272992830185,-11.8070304096151
462,7,"23","Coke, Refined Petroleum Products and Nuclear fuel",2021,1173868.49531569,324.144421961374,150408.781811333,744143.954030751,4640.1780077294,1269839.710067,0.0107445363646148,30.7608170789201
497,8,"24","Chemicals and  Chemical Products",2014,467762.803971737,2114.84335328364,204887.793081456,570625.92801957,968.808364758244,771691,0.0665565823826275,1.33749736441643
498,8,"24","Chemicals and  Chemical Products",2015,489525.664578947,2146.16460277317,221215.16977477,624076.49655586,1030.7465209748,854535,0.0689187156003276,1.47015982840545
499,8,"24","Chemicals and  Chemical Products",2016,484095.473147646,2180.55347606685,245623.350603602,696595.662386633,1126.42663112598,869702.092,0.07031987686964,1.58963892828566
500,8,"24","Chemicals and  Chemical Products",2017,509753.494543066,2217.87631926764,254380.773956991,745479.274996423,1146.95653561507,925793.401385,0.0739285468210729,1.69713924145858
501,8,"24","Chemicals and  Chemical Products",2018,648046.739202087,2362.48077216395,290837.996861855,795575.056203498,1231.07032357118,1133805.9095,0.065838217800371,6.31621164905477
502,8,"24","Chemicals and  Chemical Products",2019,672040.936292231,2696.28545919159,321151.449945607,833146.818003446,1191.0884615381,1177191.846846,0.0715717579895072,13.2162828348308
503,8,"24","Chemicals and  Chemical Products",2020,685732.432212866,2648.9723435762,345443.290754247,855968.545447396,1304.06529759343,1198000.320308,0.0681437700022776,-1.7703300025021
504,8,"24","Chemicals and  Chemical Products",2021,783023.913633242,2654.6668768721,370009.197894856,884083.467577385,1393.80651153799,1342853.150182,0.0637620651447901,0.214740680785466
